GEO (Labels);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Kopenhagen;46200;48100;48500;49200;52100;56400;56900;59200;59800;58400;64200;62700;63600;64600;67500;68000;69600;73100;73700;74100;74100;91300;115200;93800
Stuttgart;61700;67100;69200;71600;70900;69000;74200;77200;72700;66100;73200;76500;78400;78200;79800;84900;83700;87100;91900;89800;85000;89700;94600;
München;58100;59500;60000;58100;60400;60200;61800;64400;62000;60500;62200;65100;66900;68900;71100;73400;75600;80100;81000;86600;82900;90500;94300;
Nürnberg;39900;40300;41600;40200;43900;42300;43800;45800;46700;45700;47500;49500;50800;52000;53600;54300;57100;60000;61400;64400;61500;66100;68200;
Berlin;25900;26200;26200;26000;26200;26700;27800;29000;30300;30300;31500;32700;32800;33200;34400;35700;37600;39300;41200;44000;43400;46300;49300;
Bremen;36000;37400;38400;39100;39400;39700;41600;43300;43900;39800;42400;43900;45700;46300;47700;48300;48900;50100;51000;51800;49900;55300;59200;
Bremerhaven;24800;25500;25400;27100;26900;29100;30500;31000;31300;29800;30600;31400;33300;32200;32700;33000;34400;35500;34800;37700;37900;38300;39200;
Hamburg;46500;48900;49400;49600;50800;51800;52400;53900;55600;53600;55000;55300;56200;58100;58900;60900;61400;64000;64800;69500;66300;74400;80900;80500
Hannover;30700;31000;31400;31800;31900;34200;36200;36700;37800;36700;37900;39900;40200;39800;41100;41300;43600;44300;45900;48300;46700;49900;52400;
Düsseldorf;60200;64400;63100;63900;65300;64900;66400;71500;74100;69400;70600;70900;70000;73100;74800;75900;76700;79300;83700;85700;85100;90300;95700;
Duisburg;24600;24900;25000;26500;27400;28600;28600;31200;32700;29700;30400;32900;33100;32500;33700;33800;32900;35000;36500;36100;34400;37900;42700;
Essen;29700;31000;31600;32800;32700;31700;33400;36100;39700;39900;40500;41600;39000;39000;40100;40500;40900;42300;44200;45200;44600;46600;49500;
Wuppertal;27800;26800;26900;26600;27700;28100;28500;29600;30300;29900;30400;31800;31800;32400;34300;35000;36600;36800;36800;38500;36900;39100;40500;
Bonn;57700;59100;69500;58200;59700;59700;66600;69200;71200;73500;71600;71300;67300;71600;66600;68300;69800;73000;81300;78300;79200;79300;83000;
Köln;42900;45100;44600;44400;45500;44300;46700;49100;47300;47200;48100;48500;49000;51200;54300;58100;57900;59100;60400;62400;59300;64900;70300;
Münster;45800;47100;47700;49000;50600;51100;53900;55800;58200;51200;51200;50900;50600;49300;50700;51600;51700;54200;55700;58900;58300;61300;64600;
Bielefeld;27300;28400;27700;27600;27700;28500;29000;31100;31600;31100;31700;33600;34300;35400;36900;37500;38300;39800;41400;43600;43400;45500;47800;
Bochum;24700;23200;23900;24500;24500;24700;26000;26700;26900;26200;28700;28500;28500;30000;31600;31400;31700;32100;33700;35700;35600;39000;43800;
Dortmund;24000;25500;25800;26900;28300;28900;28100;30100;30300;30100;30800;32200;33100;33300;34000;35000;35700;37200;39400;41200;40500;43300;46000;
Amsterdam;47184;49128;53436;53697;56090;57666;60589;63424;65429;63282;65900;66300;67300;69100;73300;77800;80800;84000;88600;93600;86900;94600;106700;114000
Rotterdam;28726;30498;31614;32582;34205;36651;38664;41221;42938;40360;40600;41200;41000;40800;41400;44500;45300;46600;48100;50400;49000;53700;59700;61800
Helsinki;36300;38500;38600;38600;40300;41700;44000;47400;48900;46600;47900;48600;48500;49700;49500;51000;51900;53500;55000;56800;55400;57600;60400;61100
Oslo;;;;;;;;;82700;76700;90200;95200;104700;104300;100400;95900;94800;97500;97400;99700;92900;101700;;
