unit,mspe_ratio,loo_pretreatment_mspe,avg_loo_treatment_effect,relative_to_baseline
Hamburg,65.41399475600818,NA,NA,NA
Rotterdam,53.92143708054486,67227.2855300193,149786.5396921822,0.11658354502958468
Bremen,24.376520212391707,67226.75779645414,149731.40393247604,0.11617253558803453
Kopenhagen,17.321481596449058,67542.81722863088,140288.54011907507,0.04578072085176599
Dortmund,14.065075650926023,67530.46521624601,142326.97801074493,0.0609762531878546
Bonn,12.71547726183917,66189.79801723784,134008.5754799359,-0.0010332665321513002
Bochum,8.511787372816455,66262.65049532862,143707.41062278533,0.0712666861118949
Amsterdam,7.840016811993249,67623.7703885099,162363.4044064531,0.21033776498070522
Münster,7.172537012666736,67515.93666604687,138908.13410804796,0.035490486224941
Bielefeld,5.493489878644028,67536.02020397376,139390.80119452896,0.03908852732796397
Duisburg,4.489879585297626,67232.59050537899,148258.744820955,0.10519460035606065
München,4.077338471444883,67232.85596052502,148437.069061355,0.10652391815003415
Köln,3.816118858454155,67218.0876372168,137140.57978947565,0.022314255095496893
Nürnberg,3.2656060556399944,67230.07677461924,148973.1332633105,0.11052000797367922
Helsinki,2.9445189347110565,67893.38271933848,146854.48948909424,0.09472658100133069
Stuttgart,2.6174666143454424,67623.5648229226,162373.37747447187,0.21041210920192888
Wuppertal,2.3849247474542934,67560.61468063609,141682.77767970946,0.056174062745275144
Hannover,1.723418246676448,67227.32052359653,149741.28625288067,0.1162462033312992
Berlin,1.5597271021681034,243666.8126700573,18113.590748148195,-0.864972263780535
Bremerhaven,1.433569891676099,67251.521283809,147686.8723904064,0.10093157814379183
Essen,0.6826811773830291,67227.11227702412,149705.62040640498,0.11598033232996507
Düsseldorf,0.5558841562786427,68457.53218994249,140552.32066267577,0.04774707253522692
