GEO (Codes);GEO (Labels);2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
DK011;Kopenhagen;728243;739977;752964;764816;775033;784618;794128;799033;805402;815979;822733
DE111;Stuttgart;604297;612441;623738;628032;632743;634830;635911;630305;626275;612041;613111
DE212;München;1407836;1429584;1450381;1464301;1456039;1471508;1484226;1488202;1487708;1490516;1488719
DE254;Nürnberg;498876;501072;509975;511628;515201;518365;518370;515543;510632;523734;526606
DE300;Berlin;3421829;3469849;3520031;3574830;3613495;3644826;3669491;3664088;3677472;3632853;3662381
DE501;Bremen;548547;551767;557464;565719;568006;569352;567559;566573;563290;576947;584332
DE502;Bremerhaven;108844;110121;114025;113034;113026;113634;113643;113557;113173;118811;118323
DE600;Hamburg;1746342;1762791;1787408;1810438;1830584;1841179;1847253;1852478;1853935;1832675;1851596
DE929;Hannover;1119526;1128037;1144481;1148700;1152675;1157624;1157115;1155330;1157541;1134284;1138943
DEA11;Düsseldorf;598686;604527;612178;613230;617280;619294;621877;620523;619477;614399;616319
DEA12;Duisburg;486855;485465;491231;499845;498110;498590;498686;495885;495152;501671;503185
DEA13;Essen;569884;573784;582624;583084;583393;583109;582760;582415;579432;572237;574082
DEA1A;Wuppertal;343488;345425;350046;352390;353590;354382;355100;355004;354572;358568;358592
DEA22;Bonn;311287;313958;318809;322125;325490;327258;329673;330579;331885;322221;321680
DEA23;Köln;1034175;1046680;1060582;1075935;1080394;1085664;1087863;1083498;1073096;1021253;1024408
DEA33;Münster;299708;302178;310039;311846;313559;314319;315293;316403;317713;305222;307071
DEA41;Bielefeld;328864;329782;333090;333451;332552;333786;334195;333509;334002;331385;331519
DEA51;Bochum;361734;361876;364742;364920;365529;364628;365587;364454;363441;356209;357024
DEA52;Dortmund;575944;580511;586181;585813;586600;587010;588250;587696;586852;599370;601343
NL329;Amsterdam;1305307;1313889;1329572;1344659;1357675;1370657;1386424;1396239;1411057;1456187;
NL33C;Rotterdam;1417821;1403932;1412322;1422465;1431245;1441452;1454720;1461412;1470993;1488475;
FI1B1;Helsinki;1585473;1603388;1620261;1638293;1655624;1671024;1689725;1702678;1714741;1733033;1759537
NO081;Oslo;634463;647676;658390;666759;673469;681071;693494;697010;699827;709037;717711
