dates,real_y,synth_y,diff
2017-01-01,2718702,2739408.585443384,-20706.585443384014
2017-04-01,3776348,3519420.470984543,256927.5290154568
2017-07-01,3970769,3739674.484022019,231094.51597798103
2017-10-01,3356518,3209112.8025003513,147405.19749964867
2018-01-01,2932819,2889302.873165429,43516.126834570896
2018-04-01,3861835,3596368.0906891404,265466.9093108596
2018-07-01,4178306,3946391.276913213,231914.72308678692
2018-10-01,3556589,3434586.829165227,122002.17083477322
2019-01-01,2981863,3034868.3595942166,-53005.35959421657
2019-04-01,4187563,3798520.960449578,389042.0395504222
2019-07-01,4413654,4023045.181959435,390608.8180405651
2019-10-01,3844326,3571256.5598029164,273069.44019708363
2020-01-01,2467261,2331359.5348814237,135901.4651185763
2020-04-01,729382,467125.42599274684,262256.57400725316
2020-07-01,2697465,1755696.2862673393,941768.7137326607
2020-10-01,984505,674942.3218598609,309562.6781401391
2021-01-01,478992,420160.10828034056,58831.89171965944
2021-04-01,834814,680420.3339914253,154393.66600857466
2021-07-01,3385486,2478337.836743611,907148.1632563891
2021-10-01,2859908,2299926.609684973,559981.390315027
2022-01-01,2049072,1510400.5538188075,538671.4461811925
2022-04-01,4309219,3270116.4948383705,1039102.5051616295
2022-07-01,4584990,3586938.8730016137,998051.1269983863
2022-10-01,3767549,3067541.999735266,700007.000264734
2023-01-01,3159965,2575622.382360326,584342.6176396739
2023-04-01,4410531,3506317.578197597,904213.4218024029
2023-07-01,4498405,3688355.1001397753,810049.8998602247
2023-10-01,3873679,3202308.789789604,671370.210210396
2024-01-01,3323131,2773790.7551796795,549340.2448203205
2024-04-01,4213761,3553936.460952131,659824.5390478689
