GEO (Labels);2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Kopenhagen;46.200;48.100;48.500;49.200;52.100;56.400;56.900;59.200;59.800;58.400;64.200;62.700;63.600;64.600;67.500;68.000;69.600;73.100;73.700;74.100;74.100;91.300;115.200;93.800
Stuttgart;61.700;67.100;69.200;71.600;70.900;69.000;74.200;77.200;72.700;66.100;73.200;76.500;78.400;78.200;79.800;84.900;83.700;87.100;91.900;89.800;85.000;89.700;94.600;
München;58.100;59.500;60.000;58.100;60.400;60.200;61.800;64.400;62.000;60.500;62.200;65.100;66.900;68.900;71.100;73.400;75.600;80.100;81.000;86.600;82.900;90.500;94.300;
Nürnberg;39.900;40.300;41.600;40.200;43.900;42.300;43.800;45.800;46.700;45.700;47.500;49.500;50.800;52.000;53.600;54.300;57.100;60.000;61.400;64.400;61.500;66.100;68.200;
Berlin;25.900;26.200;26.200;26.000;26.200;26.700;27.800;29.000;30.300;30.300;31.500;32.700;32.800;33.200;34.400;35.700;37.600;39.300;41.200;44.000;43.400;46.300;49.300;
Bremen;36.000;37.400;38.400;39.100;39.400;39.700;41.600;43.300;43.900;39.800;42.400;43.900;45.700;46.300;47.700;48.300;48.900;50.100;51.000;51.800;49.900;55.300;59.200;
Bremerhaven;24.800;25.500;25.400;27.100;26.900;29.100;30.500;31.000;31.300;29.800;30.600;31.400;33.300;32.200;32.700;33.000;34.400;35.500;34.800;37.700;37.900;38.300;39.200;
Hamburg;46.500;48.900;49.400;49.600;50.800;51.800;52.400;53.900;55.600;53.600;55.000;55.300;56.200;58.100;58.900;60.900;61.400;64.000;64.800;69.500;66.300;74.400;80.900;80.500
Hannover;30.700;31.000;31.400;31.800;31.900;34.200;36.200;36.700;37.800;36.700;37.900;39.900;40.200;39.800;41.100;41.300;43.600;44.300;45.900;48.300;46.700;49.900;52.400;
Düsseldorf;60.200;64.400;63.100;63.900;65.300;64.900;66.400;71.500;74.100;69.400;70.600;70.900;70.000;73.100;74.800;75.900;76.700;79.300;83.700;85.700;85.100;90.300;95.700;
Duisburg;24.600;24.900;25.000;26.500;27.400;28.600;28.600;31.200;32.700;29.700;30.400;32.900;33.100;32.500;33.700;33.800;32.900;35.000;36.500;36.100;34.400;37.900;42.700;
Essen,;29.700;31.000;31.600;32.800;32.700;31.700;33.400;36.100;39.700;39.900;40.500;41.600;39.000;39.000;40.100;40.500;40.900;42.300;44.200;45.200;44.600;46.600;49.500;
Wuppertal;27.800;26.800;26.900;26.600;27.700;28.100;28.500;29.600;30.300;29.900;30.400;31.800;31.800;32.400;34.300;35.000;36.600;36.800;36.800;38.500;36.900;39.100;40.500;
Bonn;57.700;59.100;69.500;58.200;59.700;59.700;66.600;69.200;71.200;73.500;71.600;71.300;67.300;71.600;66.600;68.300;69.800;73.000;81.300;78.300;79.200;79.300;83.000;
Köln;42.900;45.100;44.600;44.400;45.500;44.300;46.700;49.100;47.300;47.200;48.100;48.500;49.000;51.200;54.300;58.100;57.900;59.100;60.400;62.400;59.300;64.900;70.300;
Münster;45.800;47.100;47.700;49.000;50.600;51.100;53.900;55.800;58.200;51.200;51.200;50.900;50.600;49.300;50.700;51.600;51.700;54.200;55.700;58.900;58.300;61.300;64.600;
Bielefeld;27.300;28.400;27.700;27.600;27.700;28.500;29.000;31.100;31.600;31.100;31.700;33.600;34.300;35.400;36.900;37.500;38.300;39.800;41.400;43.600;43.400;45.500;47.800;
Bochum;24.700;23.200;23.900;24.500;24.500;24.700;26.000;26.700;26.900;26.200;28.700;28.500;28.500;30.000;31.600;31.400;31.700;32.100;33.700;35.700;35.600;39.000;43.800;
Dortmund;24.000;25.500;25.800;26.900;28.300;28.900;28.100;30.100;30.300;30.100;30.800;32.200;33.100;33.300;34.000;35.000;35.700;37.200;39.400;41.200;40.500;43.300;46.000;
Amsterdam;47.184;49.128;53.436;53.697;56.090;57.666;60.589;63.424;65.429;63.282;65.900;66.300;67.300;69.100;73.300;77.800;80.800;84.000;88.600;93.600;86.900;94.600;106.700;114.000
Rotterdam;28.726;30.498;31.614;32.582;34.205;36.651;38.664;41.221;42.938;40.360;40.600;41.200;41.000;40.800;41.400;44.500;45.300;46.600;48.100;50.400;49.000;53.700;59.700;61.800
Helsinki;36.300;38.500;38.600;38.600;40.300;41.700;44.000;47.400;48.900;46.600;47.900;48.600;48.500;49.700;49.500;51.000;51.900;53.500;55.000;56.800;55.400;57.600;60.400;61.100
Oslo;;;;;;;;;82.700;76.700;90.200;95.200;104.700;104.300;100.400;95.900;94.800;97.500;97.400;99.700;92.900;101.700;;
