"","Jahr","Quarter","Stadt","total"
"1",1998,1,"Wuppertal",76841
"2",1999,1,"Wuppertal",83727
"3",2000,1,"Wuppertal",79943
"4",2001,1,"Wuppertal",88313
"5",2002,1,"Wuppertal",78953
"6",2003,1,"Wuppertal",73286
"7",2004,1,"Wuppertal",79948
"8",2005,1,"Wuppertal",74753
"9",2006,1,"Wuppertal",84535
"10",2007,1,"Wuppertal",90963
"11",2008,1,"Wuppertal",113519
"12",2009,1,"Wuppertal",98944
"13",2010,1,"Wuppertal",98614
"14",2011,1,"Wuppertal",110309
"15",2012,1,"Wuppertal",125339
"16",2013,1,"Wuppertal",120548
"17",2014,1,"Wuppertal",126743
"18",2015,1,"Wuppertal",137550
"19",2016,1,"Wuppertal",146846
"20",2017,1,"Wuppertal",145764
"21",2018,1,"Wuppertal",141797
"22",2019,1,"Wuppertal",150377
"23",2020,1,"Wuppertal",137032
"24",2021,1,"Wuppertal",51968
"25",2022,1,"Wuppertal",96164
"26",2023,1,"Wuppertal",153824
"27",2024,1,"Wuppertal",145609
"28",1998,2,"Wuppertal",86922
"29",1999,2,"Wuppertal",89699
"30",2000,2,"Wuppertal",94525
"31",2001,2,"Wuppertal",83629
"32",2002,2,"Wuppertal",72659
"33",2003,2,"Wuppertal",76301
"34",2004,2,"Wuppertal",88907
"35",2005,2,"Wuppertal",92987
"36",2006,2,"Wuppertal",99062
"37",2007,2,"Wuppertal",96184
"38",2008,2,"Wuppertal",129470
"39",2009,2,"Wuppertal",106809
"40",2010,2,"Wuppertal",111352
"41",2011,2,"Wuppertal",122453
"42",2012,2,"Wuppertal",133037
"43",2013,2,"Wuppertal",134127
"44",2014,2,"Wuppertal",138302
"45",2015,2,"Wuppertal",151950
"46",2016,2,"Wuppertal",165040
"47",2017,2,"Wuppertal",151928
"48",2018,2,"Wuppertal",150271
"49",2019,2,"Wuppertal",167913
"50",2020,2,"Wuppertal",39035
"51",2021,2,"Wuppertal",58340
"52",2022,2,"Wuppertal",163829
"53",2023,2,"Wuppertal",172336
"54",2024,2,"Wuppertal",169959
"55",1998,3,"Wuppertal",89146
"56",1999,3,"Wuppertal",85197
"57",2000,3,"Wuppertal",84688
"58",2001,3,"Wuppertal",72775
"59",2002,3,"Wuppertal",73751
"60",2003,3,"Wuppertal",74505
"61",2004,3,"Wuppertal",75164
"62",2005,3,"Wuppertal",81585
"63",2006,3,"Wuppertal",91534
"64",2007,3,"Wuppertal",115472
"65",2008,3,"Wuppertal",115356
"66",2009,3,"Wuppertal",105146
"67",2010,3,"Wuppertal",116578
"68",2011,3,"Wuppertal",125814
"69",2012,3,"Wuppertal",132652
"70",2013,3,"Wuppertal",135321
"71",2014,3,"Wuppertal",136364
"72",2015,3,"Wuppertal",137802
"73",2016,3,"Wuppertal",153169
"74",2017,3,"Wuppertal",141175
"75",2018,3,"Wuppertal",148952
"76",2019,3,"Wuppertal",161042
"77",2020,3,"Wuppertal",89102
"78",2021,3,"Wuppertal",110448
"79",2022,3,"Wuppertal",151882
"80",2023,3,"Wuppertal",158303
"81",1998,4,"Wuppertal",86549
"82",1999,4,"Wuppertal",81409
"83",2000,4,"Wuppertal",84219
"84",2001,4,"Wuppertal",81746
"85",2002,4,"Wuppertal",72371
"86",2003,4,"Wuppertal",77376
"87",2004,4,"Wuppertal",84040
"88",2005,4,"Wuppertal",84960
"89",2006,4,"Wuppertal",93455
"90",2007,4,"Wuppertal",128504
"91",2008,4,"Wuppertal",115332
"92",2009,4,"Wuppertal",112435
"93",2010,4,"Wuppertal",131186
"94",2011,4,"Wuppertal",134214
"95",2012,4,"Wuppertal",129342
"96",2013,4,"Wuppertal",143547
"97",2014,4,"Wuppertal",143412
"98",2015,4,"Wuppertal",147901
"99",2016,4,"Wuppertal",152501
"100",2017,4,"Wuppertal",144086
"101",2018,4,"Wuppertal",158373
"102",2019,4,"Wuppertal",175784
"103",2020,4,"Wuppertal",75910
"104",2021,4,"Wuppertal",124082
"105",2022,4,"Wuppertal",151074
"106",2023,4,"Wuppertal",167912
"107",1998,1,"Stuttgart",440286
"108",1999,1,"Stuttgart",471446
"109",2000,1,"Stuttgart",467001
"110",2001,1,"Stuttgart",513310
"111",2002,1,"Stuttgart",502345
"112",2003,1,"Stuttgart",513269
"113",2004,1,"Stuttgart",521583
"114",2005,1,"Stuttgart",508692
"115",2006,1,"Stuttgart",591826
"116",2007,1,"Stuttgart",562897
"117",2008,1,"Stuttgart",601033
"118",2009,1,"Stuttgart",584499
"119",2010,1,"Stuttgart",578633
"120",2011,1,"Stuttgart",629233
"121",2012,1,"Stuttgart",728096
"122",2013,1,"Stuttgart",687588
"123",2014,1,"Stuttgart",746787
"124",2015,1,"Stuttgart",775917
"125",2016,1,"Stuttgart",804007
"126",2017,1,"Stuttgart",839320
"127",2018,1,"Stuttgart",893180
"128",2019,1,"Stuttgart",902920
"129",2020,1,"Stuttgart",705099
"130",2021,1,"Stuttgart",182435
"131",2022,1,"Stuttgart",450937
"132",2023,1,"Stuttgart",839067
"133",2024,1,"Stuttgart",1049595
"134",1998,2,"Stuttgart",477586
"135",1999,2,"Stuttgart",522387
"136",2000,2,"Stuttgart",486359
"137",2001,2,"Stuttgart",539252
"138",2002,2,"Stuttgart",518770
"139",2003,2,"Stuttgart",519342
"140",2004,2,"Stuttgart",536983
"141",2005,2,"Stuttgart",580713
"142",2006,2,"Stuttgart",656453
"143",2007,2,"Stuttgart",617318
"144",2008,2,"Stuttgart",690282
"145",2009,2,"Stuttgart",590605
"146",2010,2,"Stuttgart",657021
"147",2011,2,"Stuttgart",719898
"148",2012,2,"Stuttgart",744983
"149",2013,2,"Stuttgart",786893
"150",2014,2,"Stuttgart",847125
"151",2015,2,"Stuttgart",895584
"152",2016,2,"Stuttgart",924384
"153",2017,2,"Stuttgart",964543
"154",2018,2,"Stuttgart",971492
"155",2019,2,"Stuttgart",1050638
"156",2020,2,"Stuttgart",172283
"157",2021,2,"Stuttgart",257538
"158",2022,2,"Stuttgart",890702
"159",2023,2,"Stuttgart",1037553
"160",2024,2,"Stuttgart",1170750
"161",1998,3,"Stuttgart",488622
"162",1999,3,"Stuttgart",488023
"163",2000,3,"Stuttgart",521388
"164",2001,3,"Stuttgart",556669
"165",2002,3,"Stuttgart",524746
"166",2003,3,"Stuttgart",539986
"167",2004,3,"Stuttgart",562473
"168",2005,3,"Stuttgart",598463
"169",2006,3,"Stuttgart",660672
"170",2007,3,"Stuttgart",699566
"171",2008,3,"Stuttgart",706881
"172",2009,3,"Stuttgart",644005
"173",2010,3,"Stuttgart",717588
"174",2011,3,"Stuttgart",771388
"175",2012,3,"Stuttgart",807588
"176",2013,3,"Stuttgart",841114
"177",2014,3,"Stuttgart",936714
"178",2015,3,"Stuttgart",939303
"179",2016,3,"Stuttgart",979649
"180",2017,3,"Stuttgart",993044
"181",2018,3,"Stuttgart",1023419
"182",2019,3,"Stuttgart",1063510
"183",2020,3,"Stuttgart",490104
"184",2021,3,"Stuttgart",594079
"185",2022,3,"Stuttgart",973198
"186",2023,3,"Stuttgart",1083103
"187",1998,4,"Stuttgart",544279
"188",1999,4,"Stuttgart",548644
"189",2000,4,"Stuttgart",570453
"190",2001,4,"Stuttgart",570487
"191",2002,4,"Stuttgart",579553
"192",2003,4,"Stuttgart",588361
"193",2004,4,"Stuttgart",624020
"194",2005,4,"Stuttgart",652176
"195",2006,4,"Stuttgart",664892
"196",2007,4,"Stuttgart",706859
"197",2008,4,"Stuttgart",737953
"198",2009,4,"Stuttgart",690604
"199",2010,4,"Stuttgart",749352
"200",2011,4,"Stuttgart",780855
"201",2012,4,"Stuttgart",835101
"202",2013,4,"Stuttgart",884878
"203",2014,4,"Stuttgart",935702
"204",2015,4,"Stuttgart",950686
"205",2016,4,"Stuttgart",997977
"206",2017,4,"Stuttgart",984657
"207",2018,4,"Stuttgart",1023690
"208",2019,4,"Stuttgart",1069615
"209",2020,4,"Stuttgart",280617
"210",2021,4,"Stuttgart",595186
"211",2022,4,"Stuttgart",990976
"212",2023,4,"Stuttgart",1100514
"213",1998,1,"Rotterdam",135800
"214",1999,1,"Rotterdam",160600
"215",2000,1,"Rotterdam",167700
"216",2001,1,"Rotterdam",181500
"217",2002,1,"Rotterdam",174300
"218",2003,1,"Rotterdam",161000
"219",2004,1,"Rotterdam",156800
"220",2005,1,"Rotterdam",196400
"221",2006,1,"Rotterdam",196500
"222",2007,1,"Rotterdam",236200
"223",2008,1,"Rotterdam",202000
"224",2009,1,"Rotterdam",214800
"225",2010,1,"Rotterdam",231700
"226",2011,1,"Rotterdam",248100
"227",2012,1,"Rotterdam",277000
"228",2013,1,"Rotterdam",286000
"229",2014,1,"Rotterdam",321000
"230",2015,1,"Rotterdam",328000
"231",2016,1,"Rotterdam",365000
"232",2017,1,"Rotterdam",388000
"233",2018,1,"Rotterdam",489000
"234",2019,1,"Rotterdam",452000
"235",2020,1,"Rotterdam",379000
"236",2021,1,"Rotterdam",153000
"237",2022,1,"Rotterdam",330000
"238",2023,1,"Rotterdam",522000
"239",2024,1,"Rotterdam",614000
"240",1998,2,"Rotterdam",188800
"241",1999,2,"Rotterdam",212200
"242",2000,2,"Rotterdam",229500
"243",2001,2,"Rotterdam",227000
"244",2002,2,"Rotterdam",233400
"245",2003,2,"Rotterdam",187700
"246",2004,2,"Rotterdam",201600
"247",2005,2,"Rotterdam",251900
"248",2006,2,"Rotterdam",256800
"249",2007,2,"Rotterdam",303200
"250",2008,2,"Rotterdam",272100
"251",2009,2,"Rotterdam",247300
"252",2010,2,"Rotterdam",291700
"253",2011,2,"Rotterdam",331200
"254",2012,2,"Rotterdam",347000
"255",2013,2,"Rotterdam",356000
"256",2014,2,"Rotterdam",399000
"257",2015,2,"Rotterdam",422000
"258",2016,2,"Rotterdam",440000
"259",2017,2,"Rotterdam",494000
"260",2018,2,"Rotterdam",568000
"261",2019,2,"Rotterdam",547000
"262",2020,2,"Rotterdam",125000
"263",2021,2,"Rotterdam",243000
"264",2022,2,"Rotterdam",662000
"265",2023,2,"Rotterdam",670000
"266",2024,2,"Rotterdam",760000
"267",1998,3,"Rotterdam",188300
"268",1999,3,"Rotterdam",194300
"269",2000,3,"Rotterdam",236700
"270",2001,3,"Rotterdam",229800
"271",2002,3,"Rotterdam",231500
"272",2003,3,"Rotterdam",177700
"273",2004,3,"Rotterdam",187700
"274",2005,3,"Rotterdam",215700
"275",2006,3,"Rotterdam",261500
"276",2007,3,"Rotterdam",293200
"277",2008,3,"Rotterdam",256100
"278",2009,3,"Rotterdam",258200
"279",2010,3,"Rotterdam",278000
"280",2011,3,"Rotterdam",295800
"281",2012,3,"Rotterdam",299000
"282",2013,3,"Rotterdam",317000
"283",2014,3,"Rotterdam",405000
"284",2015,3,"Rotterdam",426000
"285",2016,3,"Rotterdam",438000
"286",2017,3,"Rotterdam",496000
"287",2018,3,"Rotterdam",547000
"288",2019,3,"Rotterdam",543000
"289",2020,3,"Rotterdam",356000
"290",2021,3,"Rotterdam",447000
"291",2022,3,"Rotterdam",695000
"292",2023,3,"Rotterdam",782000
"293",1998,4,"Rotterdam",171600
"294",1999,4,"Rotterdam",184300
"295",2000,4,"Rotterdam",2e+05
"296",2001,4,"Rotterdam",202200
"297",2002,4,"Rotterdam",195200
"298",2003,4,"Rotterdam",159200
"299",2004,4,"Rotterdam",193500
"300",2005,4,"Rotterdam",225700
"301",2006,4,"Rotterdam",241500
"302",2007,4,"Rotterdam",250200
"303",2008,4,"Rotterdam",221600
"304",2009,4,"Rotterdam",248200
"305",2010,4,"Rotterdam",280700
"306",2011,4,"Rotterdam",268500
"307",2012,4,"Rotterdam",295000
"308",2013,4,"Rotterdam",301000
"309",2014,4,"Rotterdam",334000
"310",2015,4,"Rotterdam",371000
"311",2016,4,"Rotterdam",425000
"312",2017,4,"Rotterdam",442000
"313",2018,4,"Rotterdam",438000
"314",2019,4,"Rotterdam",493000
"315",2020,4,"Rotterdam",171000
"316",2021,4,"Rotterdam",325000
"317",2022,4,"Rotterdam",575000
"318",2023,4,"Rotterdam",627000
"319",1998,1,"Oslo",533346
"320",1999,1,"Oslo",503544
"321",2000,1,"Oslo",521232
"322",2001,1,"Oslo",545647
"323",2002,1,"Oslo",511494
"324",2003,1,"Oslo",502752
"325",2004,1,"Oslo",540902
"326",2005,1,"Oslo",546529
"327",2006,1,"Oslo",660253
"328",2007,1,"Oslo",675810
"329",2008,1,"Oslo",638308
"330",2009,1,"Oslo",643046
"331",2010,1,"Oslo",649867
"332",2011,1,"Oslo",769165
"333",2012,1,"Oslo",752729
"334",2013,1,"Oslo",758596
"335",2014,1,"Oslo",843460
"336",2015,1,"Oslo",884458
"337",2016,1,"Oslo",931708
"338",2017,1,"Oslo",1004955
"339",2018,1,"Oslo",1028335
"340",2019,1,"Oslo",1079083
"341",2020,1,"Oslo",871621
"342",2021,1,"Oslo",169684
"343",2022,1,"Oslo",705680
"344",2023,1,"Oslo",1030036
"345",2024,1,"Oslo",1095133
"346",1998,2,"Oslo",644897
"347",1999,2,"Oslo",666593
"348",2000,2,"Oslo",597862
"349",2001,2,"Oslo",641198
"350",2002,2,"Oslo",669173
"351",2003,2,"Oslo",622843
"352",2004,2,"Oslo",674020
"353",2005,2,"Oslo",764982
"354",2006,2,"Oslo",765030
"355",2007,2,"Oslo",758473
"356",2008,2,"Oslo",811700
"357",2009,2,"Oslo",765584
"358",2010,2,"Oslo",846829
"359",2011,2,"Oslo",888174
"360",2012,2,"Oslo",890590
"361",2013,2,"Oslo",996803
"362",2014,2,"Oslo",1016641
"363",2015,2,"Oslo",1137410
"364",2016,2,"Oslo",1144445
"365",2017,2,"Oslo",1170505
"366",2018,2,"Oslo",1258575
"367",2019,2,"Oslo",1337486
"368",2020,2,"Oslo",234817
"369",2021,2,"Oslo",272895
"370",2022,2,"Oslo",1283395
"371",2023,2,"Oslo",1392854
"372",2024,2,"Oslo",1433666
"373",1998,3,"Oslo",857270
"374",1999,3,"Oslo",828433
"375",2000,3,"Oslo",835226
"376",2001,3,"Oslo",861499
"377",2002,3,"Oslo",841890
"378",2003,3,"Oslo",809414
"379",2004,3,"Oslo",883052
"380",2005,3,"Oslo",947879
"381",2006,3,"Oslo",965773
"382",2007,3,"Oslo",983024
"383",2008,3,"Oslo",943722
"384",2009,3,"Oslo",962627
"385",2010,3,"Oslo",1042561
"386",2011,3,"Oslo",1064775
"387",2012,3,"Oslo",1099635
"388",2013,3,"Oslo",1129288
"389",2014,3,"Oslo",1218265
"390",2015,3,"Oslo",1376223
"391",2016,3,"Oslo",1496569
"392",2017,3,"Oslo",1541385
"393",2018,3,"Oslo",1523229
"394",2019,3,"Oslo",1683325
