"","Jahr","Stadt","1","2","3","4"
"1",1998,"Wuppertal",76841,86922,89146,86549
"2",1999,"Wuppertal",83727,89699,85197,81409
"3",2000,"Wuppertal",79943,94525,84688,84219
"4",2001,"Wuppertal",88313,83629,72775,81746
"5",2002,"Wuppertal",78953,72659,73751,72371
"6",2003,"Wuppertal",73286,76301,74505,77376
"7",2004,"Wuppertal",79948,88907,75164,84040
"8",2005,"Wuppertal",74753,92987,81585,84960
"9",2006,"Wuppertal",84535,99062,91534,93455
"10",2007,"Wuppertal",90963,96184,115472,128504
"11",2008,"Wuppertal",113519,129470,115356,115332
"12",2009,"Wuppertal",98944,106809,105146,112435
"13",2010,"Wuppertal",98614,111352,116578,131186
"14",2011,"Wuppertal",110309,122453,125814,134214
"15",2012,"Wuppertal",125339,133037,132652,129342
"16",2013,"Wuppertal",120548,134127,135321,143547
"17",2014,"Wuppertal",126743,138302,136364,143412
"18",2015,"Wuppertal",137550,151950,137802,147901
"19",2016,"Wuppertal",146846,165040,153169,152501
"20",2017,"Wuppertal",145764,151928,141175,144086
"21",2018,"Wuppertal",141797,150271,148952,158373
"22",2019,"Wuppertal",150377,167913,161042,175784
"23",2020,"Wuppertal",137032,39035,89102,75910
"24",2021,"Wuppertal",51968,58340,110448,124082
"25",2022,"Wuppertal",96164,163829,151882,151074
"26",2023,"Wuppertal",153824,172336,158303,167912
"27",2024,"Wuppertal",145609,169959,NA,NA
"28",1998,"Stuttgart",440286,477586,488622,544279
"29",1999,"Stuttgart",471446,522387,488023,548644
"30",2000,"Stuttgart",467001,486359,521388,570453
"31",2001,"Stuttgart",513310,539252,556669,570487
"32",2002,"Stuttgart",502345,518770,524746,579553
"33",2003,"Stuttgart",513269,519342,539986,588361
"34",2004,"Stuttgart",521583,536983,562473,624020
"35",2005,"Stuttgart",508692,580713,598463,652176
"36",2006,"Stuttgart",591826,656453,660672,664892
"37",2007,"Stuttgart",562897,617318,699566,706859
"38",2008,"Stuttgart",601033,690282,706881,737953
"39",2009,"Stuttgart",584499,590605,644005,690604
"40",2010,"Stuttgart",578633,657021,717588,749352
"41",2011,"Stuttgart",629233,719898,771388,780855
"42",2012,"Stuttgart",728096,744983,807588,835101
"43",2013,"Stuttgart",687588,786893,841114,884878
"44",2014,"Stuttgart",746787,847125,936714,935702
"45",2015,"Stuttgart",775917,895584,939303,950686
"46",2016,"Stuttgart",804007,924384,979649,997977
"47",2017,"Stuttgart",839320,964543,993044,984657
"48",2018,"Stuttgart",893180,971492,1023419,1023690
"49",2019,"Stuttgart",902920,1050638,1063510,1069615
"50",2020,"Stuttgart",705099,172283,490104,280617
"51",2021,"Stuttgart",182435,257538,594079,595186
"52",2022,"Stuttgart",450937,890702,973198,990976
"53",2023,"Stuttgart",839067,1037553,1083103,1100514
"54",2024,"Stuttgart",1049595,1170750,NA,NA
"55",1998,"Rotterdam",135800,188800,188300,171600
"56",1999,"Rotterdam",160600,212200,194300,184300
"57",2000,"Rotterdam",167700,229500,236700,2e+05
"58",2001,"Rotterdam",181500,227000,229800,202200
"59",2002,"Rotterdam",174300,233400,231500,195200
"60",2003,"Rotterdam",161000,187700,177700,159200
"61",2004,"Rotterdam",156800,201600,187700,193500
"62",2005,"Rotterdam",196400,251900,215700,225700
"63",2006,"Rotterdam",196500,256800,261500,241500
"64",2007,"Rotterdam",236200,303200,293200,250200
"65",2008,"Rotterdam",202000,272100,256100,221600
"66",2009,"Rotterdam",214800,247300,258200,248200
"67",2010,"Rotterdam",231700,291700,278000,280700
"68",2011,"Rotterdam",248100,331200,295800,268500
"69",2012,"Rotterdam",277000,347000,299000,295000
"70",2013,"Rotterdam",286000,356000,317000,301000
"71",2014,"Rotterdam",321000,399000,405000,334000
"72",2015,"Rotterdam",328000,422000,426000,371000
"73",2016,"Rotterdam",365000,440000,438000,425000
"74",2017,"Rotterdam",388000,494000,496000,442000
"75",2018,"Rotterdam",489000,568000,547000,438000
"76",2019,"Rotterdam",452000,547000,543000,493000
"77",2020,"Rotterdam",379000,125000,356000,171000
"78",2021,"Rotterdam",153000,243000,447000,325000
"79",2022,"Rotterdam",330000,662000,695000,575000
"80",2023,"Rotterdam",522000,670000,782000,627000
"81",2024,"Rotterdam",614000,760000,NA,NA
"82",1998,"Oslo",533346,644897,857270,585744
"83",1999,"Oslo",503544,666593,828433,532017
"84",2000,"Oslo",521232,597862,835226,575240
"85",2001,"Oslo",545647,641198,861499,570131
"86",2002,"Oslo",511494,669173,841890,576570
"87",2003,"Oslo",502752,622843,809414,591743
"88",2004,"Oslo",540902,674020,883052,644900
"89",2005,"Oslo",546529,764982,947879,682983
"90",2006,"Oslo",660253,765030,965773,718592
"91",2007,"Oslo",675810,758473,983024,723378
"92",2008,"Oslo",638308,811700,943722,714277
"93",2009,"Oslo",643046,765584,962627,771562
"94",2010,"Oslo",649867,846829,1042561,780956
"95",2011,"Oslo",769165,888174,1064775,785687
"96",2012,"Oslo",752729,890590,1099635,832609
"97",2013,"Oslo",758596,996803,1129288,863895
"98",2014,"Oslo",843460,1016641,1218265,930589
"99",2015,"Oslo",884458,1137410,1376223,990688
"100",2016,"Oslo",931708,1144445,1496569,1080763
"101",2017,"Oslo",1004955,1170505,1541385,1105075
"102",2018,"Oslo",1028335,1258575,1523229,1044605
"103",2019,"Oslo",1079083,1337486,1683325,1240647
"104",2020,"Oslo",871621,234817,701191,330750
"105",2021,"Oslo",169684,272895,999215,896350
"106",2022,"Oslo",705680,1283395,1610863,1186869
"107",2023,"Oslo",1030036,1392854,1730379,1251138
"108",2024,"Oslo",1095133,1433666,NA,NA
"109",1998,"Nürnberg",386653.14286699,437127.814564141,472060.779386312,476226.263182558
"110",1999,"Nürnberg",399187.686179256,451298.648619756,487364.072258484,491664.592942504
"111",2000,"Nürnberg",425769.506084619,481350.526010977,519817.53824867,524404.429655735
"112",2001,"Nürnberg",412443.576127383,466284.995711524,503548.049696177,507991.378464916
"113",2002,"Nürnberg",395674.339678758,447326.661049239,483074.664250621,487337.335021383
"114",2003,"Nürnberg",398054.827215736,450017.903403874,485980.976594789,490269.2927856
"115",2004,"Nürnberg",409174.387789477,462589.039322935,499556.731836171,503964.841051417
"116",2005,"Nürnberg",426871.599810492,482596.489817875,521163.072955397,525761.837416235
"117",2006,"Nürnberg",479341,569300,550905,567569
"118",2007,"Nürnberg",498918,544029,560551,585557
"119",2008,"Nürnberg",487664,601700,580213,608002
"120",2009,"Nürnberg",493762,514069,544417,580810
"121",2010,"Nürnberg",523565,583421,646263,671337
"122",2011,"Nürnberg",555759,583423,688144,686017
"123",2012,"Nürnberg",596706,659245,711567,680793
"124",2013,"Nürnberg",588264,651320,698087,730135
"125",2014,"Nürnberg",613123,692757,760725,759749
"126",2015,"Nürnberg",614495,739286,837444,819840
"127",2016,"Nürnberg",687744,815831,850964,869325
"128",2017,"Nürnberg",702979,803333,895344,890863
"129",2018,"Nürnberg",775207,879467,998598,947815
"130",2019,"Nürnberg",766110,856804,995299,961667
