year,month,state,city,code,arrivals,nights,,
2024,1,NRW,Düsseldorf,5111,245430,417229,,
2024,2,NRW,Düsseldorf,5111,219052,347332,,
2024,3,NRW,Düsseldorf,5111,274543,454456,,
2024,4,NRW,Düsseldorf,5111,267939,440566,,
2024,5,NRW,Düsseldorf,5111,268814,457486,,
2024,6,NRW,Düsseldorf,5111,309489,571752,,
2024,7,NRW,Düsseldorf,5111,,,,
2024,8,NRW,Düsseldorf,5111,,,,
2024,9,NRW,Düsseldorf,5111,,,,
2024,10,NRW,Düsseldorf,5111,,,,
2024,11,NRW,Düsseldorf,5111,,,,
2024,12,NRW,Düsseldorf,5111,,,,
2023,1,NRW,Düsseldorf,5111,206867,373068,,
2023,2,NRW,Düsseldorf,5111,188590,330052,,
2023,3,NRW,Düsseldorf,5111,255679,448054,,
2023,4,NRW,Düsseldorf,5111,234267,410460,,
2023,5,NRW,Düsseldorf,5111,270614,497209,,
2023,6,NRW,Düsseldorf,5111,287875,494559,,
2023,7,NRW,Düsseldorf,5111,233519,419548,,
2023,8,NRW,Düsseldorf,5111,264996,486427,,
2023,9,NRW,Düsseldorf,5111,281457,501011,,
2023,10,NRW,Düsseldorf,5111,275628,484589,,
2023,11,NRW,Düsseldorf,5111,290765,489548,,
2023,12,NRW,Düsseldorf,5111,305601,478000,,
2022,1,NRW,Düsseldorf,5111,87647,146101,,
2022,2,NRW,Düsseldorf,5111,91444,149101,,
2022,3,NRW,Düsseldorf,5111,137182,229661,,
2022,4,NRW,Düsseldorf,5111,178939,310067,,
2022,5,NRW,Düsseldorf,5111,253225,433769,,
2022,6,NRW,Düsseldorf,5111,254662,440296,,
2022,7,NRW,Düsseldorf,5111,222602,387057,,
2022,8,NRW,Düsseldorf,5111,239077,426288,,
2022,9,NRW,Düsseldorf,5111,250181,448249,,
2022,10,NRW,Düsseldorf,5111,217361,430947,,
2022,11,NRW,Düsseldorf,5111,257011,441005,,
2022,12,NRW,Düsseldorf,5111,266699,425379,,
2021,1,NRW,Düsseldorf,5111,22639,43913,,
2021,2,NRW,Düsseldorf,5111,24308,57575,,
2021,3,NRW,Düsseldorf,5111,34117,61639,,
