Monat;Elbphilharmonie;Speicherstadt;;
2004-01;0;10;;
2004-02;0;8;;
2004-03;0;9;;
2004-04;0;7;;
2004-05;0;5;;
2004-06;0;6;;
2004-07;0;8;;
2004-08;0;7;;
2004-09;0;6;;
2004-10;0;8;;
2004-11;0;7;;
2004-12;0;7;;
2005-01;0;5;;
2005-02;0;4;;
2005-03;0;7;;
2005-04;1;5;;
2005-05;0;5;;
2005-06;0;6;;
2005-07;0;8;;
2005-08;0;9;;
2005-09;0;6;;
2005-10;1;6;;
2005-11;1;6;;
2005-12;1;6;;
2006-01;1;6;;
2006-02;0;4;;
2006-03;1;5;;
2006-04;1;5;;
2006-05;1;4;;
2006-06;1;4;;
2006-07;<1;5;;
2006-08;1;6;;
2006-09;1;4;;
2006-10;0;5;;
2006-11;1;5;;
2006-12;1;5;;
2007-01;1;5;;
2007-02;1;4;;
2007-03;1;4;;
2007-04;3;4;;
2007-05;1;4;;
2007-06;1;4;;
2007-07;1;5;;
2007-08;1;5;;
2007-09;1;4;;
2007-10;1;4;;
2007-11;1;4;;
2007-12;1;4;;
2008-01;1;4;;
2008-02;1;3;;
2008-03;1;4;;
2008-04;1;3;;
2008-05;1;3;;
2008-06;1;3;;
2008-07;1;4;;
2008-08;1;4;;
2008-09;2;3;;
2008-10;1;4;;
2008-11;2;3;;
2008-12;1;3;;
2009-01;1;3;;
2009-02;1;3;;
2009-03;1;3;;
2009-04;1;3;;
2009-05;2;3;;
2009-06;1;3;;
2009-07;2;4;;
2009-08;1;3;;
2009-09;1;3;;
2009-10;2;4;;
2009-11;2;3;;
2009-12;2;3;;
2010-01;3;3;;
2010-02;2;3;;
2010-03;3;4;;
2010-04;3;3;;
2010-05;4;3;;
2010-06;2;3;;
2010-07;2;3;;
2010-08;2;3;;
2010-09;2;3;;
2010-10;2;3;;
2010-11;2;3;;
2010-12;2;2;;
2011-01;2;3;;
2011-02;3;3;;
2011-03;2;3;;
2011-04;2;2;;
2011-05;2;3;;
2011-06;2;3;;
2011-07;2;3;;
2011-08;3;3;;
2011-09;3;3;;
2011-10;2;3;;
2011-11;4;3;;
2011-12;2;3;;
2012-01;2;3;;
2012-02;2;2;;
2012-03;2;2;;
2012-04;2;2;;
2012-05;2;2;;
2012-06;2;2;;
2012-07;2;2;;
2012-08;2;2;;
2012-09;2;2;;
2012-10;2;2;;
2012-11;2;2;;
2012-12;4;2;;
2013-01;3;2;;
2013-02;3;2;;
2013-03;2;2;;
2013-04;2;2;;
2013-05;2;2;;
2013-06;2;2;;
2013-07;1;2;;
2013-08;2;3;;
2013-09;2;2;;
2013-10;2;2;;
2013-11;3;2;;
2013-12;2;2;;
2014-01;2;2;;
2014-02;2;2;;
2014-03;2;2;;
2014-04;2;2;;
2014-05;3;2;;
2014-06;2;2;;
2014-07;2;2;;
2014-08;2;3;;
2014-09;2;3;;
2014-10;2;3;;
2014-11;2;2;;
2014-12;2;2;;
2015-01;2;3;;
2015-02;2;2;;
2015-03;2;3;;
2015-04;2;2;;
2015-05;2;2;;
2015-06;2;2;;
2015-07;2;5;;
2015-08;2;3;;
2015-09;2;3;;
2015-10;2;3;;
2015-11;2;2;;
2015-12;2;3;;
2016-01;2;2;;
2016-02;2;3;;
2016-03;2;3;;
2016-04;5;2;;
2016-05;8;2;;
2016-06;6;2;;
2016-07;5;3;;
2016-08;4;3;;
2016-09;5;2;;
2016-10;9;3;;
2016-11;36;2;;
2016-12;26;2;;
2017-01;100;3;;
2017-02;32;2;;
2017-03;20;3;;
2017-04;19;3;;
2017-05;18;2;;
2017-06;27;2;;
2017-07;21;3;;
2017-08;18;3;;
2017-09;19;3;;
2017-10;20;3;;
2017-11;19;3;;
2017-12;23;3;;
2018-01;28;3;;
2018-02;18;3;;
2018-03;17;3;;
2018-04;15;3;;
2018-05;15;2;;
2018-06;17;3;;
2018-07;12;3;;
2018-08;14;3;;
2018-09;18;3;;
2018-10;15;3;;
2018-11;17;3;;
2018-12;18;3;;
2019-01;17;3;;
2019-02;16;3;;
2019-03;15;3;;
2019-04;13;3;;
2019-05;13;3;;
2019-06;15;3;;
2019-07;11;3;;
2019-08;14;4;;
2019-09;14;3;;
2019-10;13;3;;
2019-11;14;3;;
2019-12;15;3;;
2020-01;15;3;;
2020-02;13;3;;
2020-03;10;2;;
2020-04;4;1;;
2020-05;5;1;;
2020-06;5;2;;
2020-07;6;3;;
2020-08;6;3;;
2020-09;7;3;;
2020-10;6;2;;
2020-11;3;1;;
2020-12;3;1;;
2021-01;3;1;;
2021-02;3;1;;
2021-03;3;1;;
2021-04;3;1;;
2021-05;4;1;;
2021-06;6;2;;
2021-07;6;3;;
2021-08;10;3;;
2021-09;9;3;;
2021-10;11;3;;
2021-11;10;2;;
2021-12;9;2;;
2022-01;14;2;;
2022-02;10;2;;
2022-03;8;2;;
2022-04;11;3;;
2022-05;9;2;;
2022-06;9;3;;
2022-07;7;3;;
2022-08;9;3;;
2022-09;9;2;;
2022-10;10;3;;
2022-11;15;2;;
2022-12;13;2;;
2023-01;12;2;;
2023-02;10;2;;
2023-03;10;2;;
2023-04;9;2;;
2023-05;8;2;;
2023-06;8;2;;
2023-07;8;3;;
2023-08;10;3;;
2023-09;10;2;;
2023-10;12;3;;
2023-11;11;2;;
2023-12;13;2;;
2024-01;11;2;;
2024-02;11;2;;
2024-03;10;2;;
2024-04;9;2;;
2024-05;10;2;;
2024-06;8;2;;
2024-07;8;2;;
2024-08;8;3;;
2024-09;10;2;;
2024-10;11;2;;
2024-11;10;2;;
2024-12;11;2;;
2025-01;10;2;;
2025-02;8;2;;
2025-03;9;2;;
2025-04;8;2;;
2025-05;8;2;;
2025-06;7;2;;
2025-07;8;2;;
